"Pair","Bid","Ask","High","Low","Chg.","Chg. %","Time"
"EUR/USD","1.0978","1.0980","1.0981","1.0975","0.0006","0.05%","17:08:57"
"USD/JPY","143.68","143.71","143.73","143.70","-0.03","-0.02%","17:08:05"
"GBP/USD","1.2717","1.2721","1.2726","1.2717","0.0001","0.01%","17:08:23"
"USD/TRY","27.0066","27.0166","27.0117","27.0050","0.0066","0.02%","17:08:26"
"USD/CHF","0.8755","0.8775","0.8774","0.8764","-0.0006","-0.07%","17:06:42"
"USD/CAD","1.3421","1.3425","1.3423","1.3418","0.0005","0.04%","17:08:14"
"EUR/JPY","157.68","157.82","157.81","157.72","0.00","0.00%","17:08:21"
"AUD/USD","0.6528","0.6529","0.6532","0.6524","0.0003","0.04%","17:08:38"
"NZD/USD","0.6052","0.6053","0.6057","0.6051","0.0001","0.02%","17:08:07"
"EUR/GBP","0.8629","0.8634","0.8633","0.8625","0.0003","0.04%","17:08:24"
"EUR/CHF","0.9609","0.9633","0.9631","0.9621","-0.0006","-0.06%","17:08:24"
"AUD/JPY","93.78","93.86","94.10","93.75","-0.01","-0.01%","17:08:21"
"GBP/JPY","182.68","182.82","182.87","182.75","-0.07","-0.04%","17:08:18"
"CHF/JPY","163.88","163.93","163.99","163.79","0.00","0.00%","17:08:14"
"EUR/CAD","1.4732","1.4739","1.4740","1.4727","0.0008","0.05%","17:08:24"
"AUD/CAD","0.8758","0.8769","0.8767","0.8758","0.0003","0.03%","17:08:27"
"CAD/JPY","107.03","107.09","107.11","107.02","-0.04","-0.04%","17:08:26"
"NZD/JPY","86.98","87.02","87.10","86.97","0.03","0.03%","17:08:26"
"AUD/NZD","1.0782","1.0795","1.0789","1.0775","-0.0001","-0.01%","17:08:24"
"GBP/AUD","1.9473","1.9491","1.9501","1.9476","0.0000","0.00%","17:08:30"
"EUR/AUD","1.6804","1.6822","1.6825","1.6807","0.0003","0.02%","17:08:28"
"GBP/CHF","1.1150","1.1156","1.1162","1.1147","-0.0005","-0.04%","17:08:34"
"EUR/NZD","1.8130","1.8145","1.8145","1.8112","0.0001","0.01%","17:08:29"
"AUD/CHF","0.5711","0.5732","0.5729","0.5720","-0.0004","-0.07%","17:08:00"
"GBP/NZD","2.0999","2.1017","2.1021","2.0988","-0.0010","-0.05%","17:08:16"
"USD/INR","82.923","82.923","82.923","82.821","0.000","0.00%","17:08:14"
"USD/CNY","7.2083","7.2103","7.2174","7.1467","-0.0078","-0.11%","17:08:10"
"USD/SGD","1.3454","1.3459","1.3465","1.3453","-0.0008","-0.06%","17:08:09"
"USD/HKD","7.8213","7.8214","7.8224","7.8211","0.0002","0.00%","17:08:32"
"USD/DKK","6.7866","6.7876","6.7900","6.7862","-0.0017","-0.03%","17:08:30"
"GBP/CAD","1.7065","1.7081","1.7080","1.7063","0.0004","0.02%","17:08:36"
"USD/SEK","10.6843","10.6863","10.6928","10.6681","0.0199","0.19%","17:08:29"
"USD/ILS","3.7037","3.7057","3.7250","3.6807","0.0010","0.03%","17:00:03"
"USD/RUB","97.2000","97.2000","98.0478","96.7425","0.1000","0.10%","17:00:03"
"USD/MXN","17.0550","17.0680","17.0619","17.0585","0.0082","0.05%","17:08:33"
"USD/ZAR","18.9712","18.9862","19.0054","18.9787","0.0086","0.05%","17:07:14"
"CAD/CHF","0.6521","0.6540","0.6537","0.6529","-0.0006","-0.09%","17:08:16"
"NZD/CAD","0.8120","0.8127","0.8135","0.8121","0.0002","0.02%","17:08:04"
"NZD/CHF","0.5303","0.5311","0.5313","0.5305","-0.0001","-0.02%","17:08:04"
"BTC/USD","29,528.0","29,529.0","30,284.0","29,393.0","-473.0","-1.58%","17:08:47"
"BTC/EUR","26,826.3","26,826.4","27,401.7","26,728.1","-491.9","-1.80%","17:07:24"
"ETH/USD","1,851.61","1,851.62","1,876.51","1,846.28","-11.77","-0.63%","17:07:46"